N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT;D;WR
17;2;24;49122321;2;17;3.578;False;False;True;True;False;False
54;3;13;16091687;7;0;7.239;False;False;False;True;False;False
38;2;16;22699006;5;1;5.716;False;True;False;True;False;False
10;2;31;55266286;4;10;4.657;False;False;True;True;False;False
23;3;20;36853194;1;20;4.003;False;False;True;True;False;False
32;3;17;26815792;3;0;5.164;False;False;False;True;False;False
6;4;40;73676355;1;1;4.994;False;False;False;True;False;False
52;2;13;16690578;5;40;5.314;False;False;True;True;False;False
22;3;21;38449064;5;1;5.622;False;False;False;True;False;False
9;2;33;58937371;3;9;4.138;False;False;True;True;False;False
18;3;23;46538982;4;4;5.18;False;True;True;True;False;False
53;2;13;16393351;11;2;8.188;False;False;False;True;False;False
58;2;13;15001417;9;1;7.609;False;False;False;True;False;False
47;2;14;18430948;9;1;8.095;False;True;False;True;False;False
9;2;33;58945290;1;9;2.953;False;False;False;True;False;False
39;2;16;22114590;3;39;4.326;False;False;True;True;False;False
49;2;14;17698370;9;11;7.681;False;False;True;True;False;False
35;2;16;24557000;7;6;6.727;False;False;True;True;False;False
53;2;13;16380448;5;53;5.276;False;False;True;True;False;False
12;2;28;49143686;3;10;4.141;False;False;True;True;False;False
33;2;17;26016672;3;33;4.588;False;False;True;True;False;False
40;3;15;21593354;8;16;8.059;False;False;True;True;False;False
30;4;18;28521474;7;0;8.562;False;False;False;True;False;False
10;4;31;55263571;0;0;4.229;False;False;False;True;False;False
4;4;50;88424233;0;0;4.342;False;False;False;True;False;False
36;4;16;23919776;0;0;4.288;False;False;False;True;False;False
15;2;25;42117615;4;2;4.71;False;False;False;True;False;False
19;4;22;44222538;0;0;4.224;False;False;False;True;False;False
15;4;25;42095915;0;0;4.308;False;False;False;True;False;False
50;4;14;17335865;0;0;4.314;False;False;False;True;False;False
43;3;15;20108145;6;0;6.122;False;False;False;True;False;False
56;4;13;15524667;0;0;4.296;False;False;False;True;False;False
62;3;12;14050120;0;0;3.294;False;False;False;True;False;False
31;2;17;27638315;4;31;4.697;False;False;True;True;False;False
51;4;14;17016114;0;0;4.285;False;False;False;True;False;False
36;2;16;23917896;6;36;5.896;False;False;True;True;False;False
61;2;12;14261418;4;0;4.807;False;False;False;True;False;False
53;4;13;16393619;0;0;4.324;False;False;False;True;False;False
16;3;25;52028545;6;9;6.839;False;False;True;True;False;False
35;2;16;24570072;5;2;5.616;False;False;False;True;False;False
45;4;14;19238421;0;0;4.312;False;False;False;True;False;False
15;4;25;42110410;0;0;4.303;False;False;False;True;False;False
6;2;40;73682962;2;6;3.535;False;False;True;True;False;False
