N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT;D;WR
51;3;14;17026610;4;8;5.758;False;False;True;True;False;False
20;3;22;42096795;3;1;5.068;False;False;False;True;False;False
33;3;17;26013723;2;2;4.597;False;True;False;True;False;False
46;4;14;18815032;3;0;6.153;False;False;False;True;False;False
24;3;20;35387953;6;24;6.614;False;False;True;True;False;False
24;3;20;35375203;4;7;5.626;False;False;True;True;False;False
19;4;22;44226422;0;0;4.274;False;False;False;True;False;False
24;2;20;35372077;1;24;2.951;False;False;False;True;False;False
37;3;16;23263588;2;37;4.693;False;False;False;True;False;False
35;4;16;24559506;4;2;7.077;False;False;False;True;False;False
48;2;14;18048028;7;48;6.614;False;False;True;True;False;False
5;2;44;80371073;4;5;4.517;False;False;True;True;False;False
43;2;15;20093588;7;43;6.957;False;False;True;True;False;False
44;3;15;19677194;6;6;6.616;False;False;True;True;False;False
51;3;14;17003641;5;51;5.679;False;True;True;True;False;False
9;4;33;58962508;0;0;4.296;False;False;False;True;False;False
53;2;13;16381887;6;3;6.117;False;False;False;True;False;False
57;2;13;15271349;8;2;6.604;False;False;False;True;False;False
35;2;16;24585441;9;8;7.577;False;False;True;True;False;False
27;4;19;31580236;0;0;4.305;False;False;False;True;False;False
30;4;18;28533168;0;0;4.295;False;False;False;True;False;False
64;2;12;13603277;4;5;5.333;False;True;False;True;False;False
62;3;12;14051235;9;0;7.703;False;False;False;True;False;False
55;4;13;15810372;0;0;4.463;False;False;False;True;False;False
18;2;23;46550992;3;18;4.149;False;False;True;True;False;False
42;2;15;20559669;5;42;5.475;False;False;True;True;False;False
49;4;14;17700084;4;4;7.053;False;True;True;True;False;False
7;3;37;68003606;4;1;5.035;False;False;False;True;False;False
30;3;18;28545656;6;0;6.648;False;False;False;True;False;False
20;2;22;42108592;5;8;5.5;False;False;True;True;False;False
28;2;18;30500020;6;4;5.853;False;False;True;True;False;False
37;2;16;23290913;4;37;4.721;False;False;True;True;False;False
16;4;25;52013781;0;0;4.318;False;False;False;True;False;False
10;2;31;55253521;6;10;5.319;False;False;True;True;False;False
39;2;16;22100393;8;39;7.053;False;False;True;True;False;False
18;3;23;46527638;3;18;5.03;False;False;True;True;False;False
25;4;20;34019633;0;0;4.36;False;False;False;True;False;False
44;2;15;19656306;4;44;4.772;False;False;True;True;False;False
