N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
45;2;14;19218076;6;4;5.94;False;False;False;True
53;2;13;16375939;7;53;5.878;False;True;True;True
28;4;18;30483251;3;0;5.986;False;False;False;True
38;2;16;22699267;8;38;6.616;False;False;True;True
22;4;21;38450199;3;22;5.966;False;False;True;True
40;2;15;21563562;6;6;6.186;False;False;True;True
26;3;19;32742385;9;26;8.166;False;False;True;True
41;2;15;21068410;4;4;6.199;False;False;False;True
54;2;13;16075857;9;5;7.053;False;True;True;True
4;4;50;88405107;1;4;5.905;False;True;True;True
14;3;26;44229265;2;14;4.414;False;False;True;True
29;4;18;29486465;11;29;10.164;False;False;True;True
43;4;15;20121751;8;3;8.677;False;False;True;True
31;2;17;27635135;10;31;7.916;False;False;True;True
19;2;22;44201682;9;19;6.595;False;False;True;True
49;3;14;17696806;4;49;5.652;False;True;True;True
61;2;12;14275789;6;61;6.07;False;False;True;True
28;3;18;30488913;6;28;6.553;False;False;True;True
40;4;15;21573609;10;1;9.919;False;False;False;True
22;4;21;38456631;3;22;5.991;False;False;True;True
32;4;17;26797253;6;15;7.726;False;False;True;True
9;2;33;58962743;1;9;3.869;False;False;True;True
10;4;31;55271056;3;10;5.938;False;False;True;True
12;3;28;49116707;4;12;5.497;False;False;True;True
21;2;21;40192864;4;21;3.968;False;False;True;True
42;2;15;20579649;10;42;8.764;False;False;True;True
48;3;14;18051393;4;1;5.767;False;False;False;True
5;3;44;80390698;1;5;4.664;False;False;True;True
47;4;14;18448018;5;47;7.03;False;False;True;True
31;2;17;27649344;6;5;5.869;False;False;True;True
26;4;19;32763836;9;1;9.209;False;False;False;True
56;4;13;15523403;4;0;6.58;False;False;False;True
38;3;16;22679519;5;4;6.395;False;False;False;True
9;2;33;58957955;3;9;4.002;False;False;True;True
33;4;17;26010769;6;33;7.688;False;False;True;True
27;3;19;31586131;8;3;7.268;False;False;False;True
26;3;19;32760094;5;26;6.121;False;False;True;True
40;3;15;21566184;9;40;7.463;False;True;True;True
46;3;14;18838088;4;2;31.236;True;True;False;True
18;2;23;46557443;1;18;3.02;False;False;True;True
52;3;13;16684801;7;5;7.216;False;False;True;True
44;4;15;19658961;9;1;9.4;False;False;False;True
37;2;16;23282234;7;37;6.517;False;True;True;True
21;3;21;40190583;4;4;6.579;False;False;False;True
55;3;13;15807501;6;4;7.085;False;True;True;True
37;3;16;23292735;6;37;7.026;False;False;True;True
49;3;14;17687690;9;2;31.241;True;True;False;True
18;3;23;46554622;2;18;30.357;True;False;False;True
54;4;13;16095200;7;0;8.103;False;False;False;True
39;2;16;22132240;7;6;6.745;False;False;True;True
12;3;28;49130375;2;12;4.379;False;False;True;True
8;3;35;63163928;3;8;4.923;False;False;True;True
32;3;17;26810177;6;32;6.953;False;False;True;True
54;4;13;16079347;0;0;4.191;False;False;False;True
62;4;12;14047916;0;0;4.272;False;False;False;True
9;4;33;58937389;7;4;8.183;False;False;False;True
53;4;13;16390175;10;53;9.825;False;True;True;True
55;3;13;15789875;8;1;7.851;False;False;False;True
62;3;12;14043437;12;62;10.088;False;True;True;True
9;2;33;58936446;4;9;4.534;False;False;True;True
19;3;22;44229141;9;9;7.411;False;False;True;True
61;4;12;14281574;0;0;4.286;False;False;False;True
29;3;18;29497007;8;12;7.32;False;False;True;True
35;3;16;24576269;3;35;31.227;True;False;True;True
36;2;16;23896317;4;36;31.219;True;False;True;True
20;2;22;42102332;4;20;3.915;False;False;True;True
19;3;22;44227933;5;19;6.121;False;False;True;True
43;4;15;20119994;6;0;7.849;False;False;False;True
46;4;14;18838196;2;1;5.519;False;False;False;True
46;4;14;18809591;5;0;7.102;False;False;False;True
12;3;28;49127879;5;4;6.083;False;False;True;True
46;4;14;18839785;3;1;6.075;False;False;False;True
15;3;25;42101281;7;15;7.074;False;False;True;True
53;2;13;16397830;8;4;7.053;False;True;False;True
30;4;18;28524145;6;0;7.562;False;False;False;True
39;3;16;22101475;8;39;7.915;False;False;True;True
47;2;14;18422738;6;47;6.338;False;False;True;True
55;4;13;15803265;7;55;8.075;False;False;True;True
55;4;13;15814507;6;0;7.591;False;False;False;True
44;4;15;19650378;6;0;7.642;False;False;False;True
58;2;13;14983811;4;58;4.81;False;True;True;True
28;3;18;30485455;2;5;4.782;False;False;True;True
23;4;20;36834190;4;2;6.583;False;False;False;True
5;4;44;80391026;1;5;4.977;False;False;True;True
31;4;17;27638161;6;1;7.745;False;False;False;True
5;2;44;80386688;4;5;4.398;False;False;True;True
26;2;19;32758396;8;26;6.578;False;False;True;True
18;2;23;46536119;3;18;4.14;False;False;True;True
4;3;50;88402982;2;4;4.404;False;False;True;True
58;3;13;15014353;7;3;7.605;False;True;False;True
53;3;13;16372452;6;21;6.826;False;False;True;True
16;3;25;52014519;3;4;6.371;False;True;False;True
