N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT;D;WR
13;3;27;46547309;5;0;6.036;False;False;False;True;False;False
58;4;13;14996079;0;0;4.267;False;False;False;True;False;False
50;2;14;17362728;11;3;8.029;False;False;True;True;False;False
37;4;16;23294423;9;0;9.184;False;False;False;True;False;False
50;3;14;17355696;10;3;8.821;False;False;True;True;False;False
60;2;12;14507697;7;4;6.522;False;True;True;True;False;False
5;4;44;80385750;4;0;5.943;False;False;False;True;False;False
43;2;15;20113084;7;8;6.469;False;True;True;True;False;False
30;3;18;28520141;0;0;3.246;False;False;False;True;False;False
42;2;15;20560713;8;42;6.78;False;False;True;True;False;False
61;2;12;14277211;8;4;6.441;False;True;True;True;False;False
27;4;19;31594099;0;0;4.274;False;False;False;True;False;False
47;4;14;18428413;0;0;4.259;False;False;False;True;False;False
44;4;15;19664259;0;0;4.26;False;False;False;True;False;False
56;3;13;15524360;9;0;8.296;False;False;False;True;False;False
21;2;21;40185595;4;21;4.642;False;False;True;True;False;False
50;4;14;17340912;0;0;4.251;False;False;False;True;False;False
24;3;20;35380061;5;16;6.028;False;False;True;True;False;False
59;2;13;14760810;5;59;5.307;False;True;True;True;False;False
47;3;14;18427954;2;31;4.653;False;False;True;True;False;False
50;4;14;17355591;0;0;4.292;False;False;False;True;False;False
42;2;15;20566076;4;42;4.66;False;False;True;True;False;False
54;4;13;16105396;0;0;4.193;False;False;False;True;False;False
35;2;16;24576632;4;7;4.864;False;False;True;True;False;False
31;4;17;27630531;4;0;6.709;False;False;False;True;False;False
21;2;21;40194585;7;8;6.254;False;False;True;True;False;False
23;4;20;36857505;0;0;4.306;False;False;False;True;False;False
61;4;12;14263770;0;0;4.26;False;False;False;True;False;False
32;3;17;26789644;7;1;7.33;False;False;False;True;False;False
7;3;37;68019261;3;0;4.924;False;False;False;True;False;False
50;3;14;17364861;5;1;6.233;False;False;False;True;False;False
7;2;37;68002123;3;7;3.914;False;False;True;True;False;False
55;3;13;15793159;11;1;9.492;False;False;False;True;False;False
26;4;19;32770579;0;0;4.27;False;False;False;True;False;False
62;3;12;14062275;0;0;3.248;False;False;False;True;False;False
41;4;15;21066300;0;0;4.284;False;False;False;True;False;False
25;4;20;34010970;0;0;4.24;False;False;False;True;False;False
64;2;12;13630437;11;64;9.471;False;False;True;True;False;False
34;4;17;25274899;6;34;7.628;False;False;True;True;False;False
48;2;14;18066974;8;18;6.99;False;True;True;True;False;False
25;4;20;34028972;0;0;4.261;False;False;False;True;False;False
60;2;12;14503271;3;4;4.41;False;False;True;True;False;False
41;4;15;21069260;6;7;7.704;False;False;True;True;False;False
56;4;13;15529585;0;0;4.262;False;False;False;True;False;False
26;3;19;32756751;0;0;3.304;False;False;False;True;False;False
18;2;23;46558734;3;18;4.089;False;False;True;True;False;False
19;4;22;44200977;3;0;5.958;False;False;False;True;False;False
