N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
18;3;23;250000;1;1;6.084;False;False;False;True
15;3;25;250000;3;1;6.46;False;False;False;True
34;4;17;250000;6;4;10.595;False;False;True;True
26;3;19;250000;2;2;6.126;False;False;False;True
17;4;24;250000;5;3;9.495;False;False;True;True
16;2;25;250000;6;4;7.645;False;False;True;True
33;4;17;250000;6;4;9.628;False;False;True;True
25;3;20;250000;8;4;11.675;False;False;True;True
62;4;12;250000;2;2;7.903;False;False;False;True
22;3;21;250000;5;22;8.623;False;False;True;True
11;3;30;250000;3;2;6.43;False;False;False;True
17;3;24;250000;5;4;8.566;False;False;True;True
4;4;50;250000;0;0;4.205;False;False;False;True
53;3;13;250000;8;7;11.913;False;False;True;True
51;2;14;250000;7;7;9.849;False;False;True;True
30;4;18;250000;5;3;9.553;False;False;True;True
9;3;33;250000;4;2;7.465;False;False;False;True
45;2;14;250000;4;5;7.681;False;False;True;True
48;4;14;250000;8;5;12.803;False;False;True;True
13;4;27;250000;6;0;10.517;False;False;False;True
61;4;12;250000;10;6;14.851;False;False;True;True
40;2;15;250000;8;8;10.813;False;False;True;True
50;2;14;250000;10;8;13.021;False;False;True;True
32;2;17;250000;5;5;7.726;False;False;False;True
48;3;14;250000;7;6;9.763;False;False;True;True
36;2;16;250000;7;8;9.754;False;False;True;True
57;4;13;250000;6;5;9.717;False;False;True;True
36;3;16;250000;4;6;7.584;False;False;True;True
21;3;21;250000;3;4;6.502;False;False;True;True
52;2;13;250000;5;8;7.778;False;False;True;True
61;2;12;250000;8;6;9.896;False;False;True;True
32;2;17;250000;7;5;9.787;False;False;False;True
64;4;12;250000;11;6;15.955;False;False;True;True
23;4;20;250000;3;2;7.461;False;False;False;True
43;3;15;250000;3;4;7.56;False;False;True;True
55;2;13;250000;10;6;11.95;False;False;True;True
43;4;15;250000;8;5;11.723;False;False;True;True
19;3;22;250000;4;4;7.535;False;False;True;True
27;4;19;250000;5;3;9.519;False;False;True;True
64;3;12;250000;9;7;12.994;False;False;True;True
30;3;18;250000;6;4;9.79;False;False;True;True
37;4;16;250000;7;5;11.707;False;False;True;True
37;2;16;250000;4;37;6.628;False;False;True;True
21;2;21;250000;5;7;7.613;False;False;True;True
54;4;13;250000;6;6;10.67;False;False;True;True
18;2;23;250000;4;5;6.628;False;False;True;True
44;4;15;250000;9;5;12.777;False;False;True;True
61;2;12;250000;9;8;10.898;False;False;True;True
59;2;13;250000;6;59;8.74;False;False;True;True
20;2;22;250000;9;5;10.754;False;False;True;True
26;4;19;250000;8;26;12.653;False;False;True;True
50;3;14;250000;10;6;13.964;False;False;True;True
9;2;33;250000;2;3;4.625;False;False;True;True
54;2;13;250000;2;2;7.77;False;False;False;True
46;3;14;250000;9;46;12.677;False;False;True;True
18;4;23;250000;2;3;6.403;False;False;True;True
62;2;12;250000;5;6;8.02;False;False;True;True
55;2;13;250000;4;4;7.946;False;False;False;True
5;4;44;250000;0;0;4.222;False;False;False;True
56;2;13;250000;3;3;7.918;False;False;False;True
57;2;13;250000;4;4;7.914;False;False;False;True
31;4;17;250000;9;3;13.635;False;False;True;True
18;2;23;250000;6;6;8.674;False;False;True;True
19;4;22;250000;3;2;7.429;False;False;False;True
33;3;17;250000;6;7;9.761;False;False;True;True
8;4;35;250000;3;1;7.377;False;False;False;True
16;3;25;250000;3;3;6.494;False;False;False;True
64;2;12;250000;6;6;9.461;False;False;False;True
27;4;19;250000;6;3;10.539;False;False;True;True
12;3;28;250000;5;2;8.507;False;False;False;True
61;3;12;250000;3;3;8.042;False;False;False;True
41;4;15;250000;5;5;9.697;False;False;True;True
34;3;17;250000;1;1;7.794;False;False;False;True
17;2;24;250000;2;3;6.079;False;False;True;True
39;4;16;250000;4;5;8.657;False;False;True;True
27;3;19;250000;5;4;8.596;False;False;True;True
5;3;44;250000;0;0;3.229;False;False;False;True
29;3;18;250000;4;4;7.522;False;False;True;True
39;2;16;250000;5;7;7.706;False;False;True;True
25;4;20;250000;8;25;12.634;False;False;True;True
32;3;17;250000;8;4;11.729;False;False;False;True
18;3;23;250000;1;1;5.955;False;False;False;True
33;4;17;250000;6;4;10.659;False;False;True;True
12;4;28;250000;6;0;10.497;False;False;False;True
37;2;16;250000;5;7;7.721;False;False;True;True
42;4;15;250000;2;3;7.967;False;False;True;True
60;3;12;250000;5;7;8.763;False;False;True;True
58;4;13;250000;7;6;11.746;False;False;True;True
62;4;12;250000;6;4;9.712;False;False;True;True
40;2;15;250000;6;8;8.769;False;False;True;True
7;4;37;250000;0;0;4.211;False;False;False;True
57;2;13;250000;4;5;8.023;False;False;True;True
16;3;25;250000;4;3;7.752;False;False;False;True
63;3;12;250000;9;63;12.988;False;False;True;True
23;2;20;250000;8;7;10.798;False;False;True;True
52;3;13;250000;6;6;8.693;False;False;True;True
39;3;16;250000;6;8;9.759;False;False;True;True
61;2;12;250000;11;61;13.773;False;False;True;True
13;3;27;250000;2;2;5.4;False;False;False;True
28;4;18;250000;2;2;6.413;False;False;False;True
4;4;50;250000;0;0;4.209;False;False;False;True
40;4;15;250000;8;5;11.722;False;False;True;True
26;4;19;250000;4;3;8.491;False;False;True;True
5;2;44;250000;1;1;3.306;False;False;False;True
18;2;23;250000;2;3;5.856;False;False;True;True
44;2;15;250000;7;7;9.857;False;False;True;True
61;2;12;250000;2;2;7.914;False;False;False;True
60;4;12;250000;9;6;13.849;False;False;True;True
46;2;14;250000;5;4;7.699;False;False;False;True
56;2;13;250000;5;7;8.004;False;False;True;True
22;2;21;250000;2;3;5.997;False;False;True;True
51;4;14;250000;6;5;10.723;False;False;True;True
21;4;21;250000;2;2;6.429;False;False;False;True
40;4;15;250000;7;4;11.689;False;False;True;True
16;3;25;250000;2;2;6.087;False;False;False;True
52;4;13;250000;6;6;10.698;False;False;True;True
59;2;13;250000;5;5;8.171;False;False;False;True
8;4;35;250000;2;2;6.331;False;False;True;True
14;4;26;250000;0;0;4.751;False;False;False;True
22;2;21;250000;5;4;8.129;False;False;True;True
49;3;14;250000;4;49;7.575;False;False;True;True
56;3;13;250000;4;4;7.822;False;False;False;True
42;3;15;250000;3;4;7.369;False;False;True;True
25;4;20;250000;5;3;9.508;False;False;True;True
5;3;44;250000;0;0;3.221;False;False;False;True
28;3;18;250000;5;3;8.574;False;False;False;True
42;4;15;250000;8;5;11.719;False;False;True;True
62;3;12;250000;4;6;8.046;False;False;True;True
47;2;14;250000;5;6;7.908;False;False;True;True
36;3;16;250000;7;6;10.786;False;False;True;True
50;4;14;250000;5;4;9.67;False;False;True;True
57;3;13;250000;9;6;11.864;False;False;True;True
39;2;16;250000;7;7;9.768;False;False;True;True
26;3;19;250000;5;4;8.572;False;False;True;True
60;4;12;250000;5;4;9.736;False;False;True;True
61;2;12;250000;5;6;7.954;False;False;True;True
34;2;17;250000;4;6;7.572;False;False;True;True
8;3;35;250000;4;1;6.403;False;False;False;True
58;2;13;250000;12;6;12.977;False;False;True;True
