N;DELAY;THRESHOLD;BUF SIZE;KILLED DOCKER;REAL MPI KILLED;TIME;DEADLOCK;SEGFAULT;ABORT;RIGHT RESULT
19;5;22;44210743;5;4;6.394;False;False;True;True
13;5;27;46549280;0;0;5.137;False;False;False;True
38;5;16;22679430;4;0;5.419;False;False;False;True
10;2;31;55250864;2;10;3.19;False;False;True;True
18;4;23;46558049;4;18;5.534;False;True;False;True
4;2;50;88426768;2;4;4.398;False;False;True;True
56;5;13;15529694;0;0;5.095;False;False;False;True
13;4;27;46550038;4;13;4.743;False;False;True;True
62;4;12;14036803;9;57;4.921;False;False;True;True
11;5;30;52032125;2;2;5.739;False;False;False;True
54;4;13;16076833;3;0;4.614;False;False;False;True
10;5;31;55253658;2;1;5.713;False;False;False;True
36;5;16;23915946;3;1;6.084;False;False;False;True
24;3;20;35392001;3;24;30.31;True;False;False;True
12;5;28;49129555;4;0;5.485;False;False;False;True
62;4;12;14051864;7;0;4.85;False;False;False;True
4;4;50;88410728;3;4;4.875;False;False;True;True
38;2;16;22687052;3;38;2.965;False;False;True;True
58;2;13;14999615;4;58;3.17;False;False;True;True
24;5;20;35360132;0;0;5.126;False;False;False;True
52;5;13;16697454;0;0;5.329;False;False;False;True
32;2;17;26792561;2;2;31.219;True;True;False;True
18;2;23;46541044;2;18;3.185;False;False;True;True
48;5;14;18045391;6;48;5.729;False;False;True;True
46;2;14;18824393;7;46;2.989;False;False;True;True
16;4;25;52010340;0;0;6.684;False;False;False;True
38;4;16;22667043;5;38;5.157;False;False;True;True
48;4;14;18058358;8;0;4.978;False;False;False;True
53;5;13;16402697;0;0;5.145;False;False;False;True
42;5;15;20560501;0;0;5.282;False;False;False;True
8;2;35;63161601;2;8;3.229;False;False;True;True
11;3;30;52027841;2;11;30.351;True;False;False;True
42;2;15;20566591;7;42;3.012;False;False;True;True
44;2;15;19651075;7;44;31.206;True;False;True;True
55;3;13;15806607;8;55;4.152;False;False;True;True
61;2;12;14277138;13;61;3.286;False;False;True;True
58;4;13;14998678;9;0;4.623;False;False;False;True
26;2;19;32745062;3;26;3.205;False;False;True;True
24;3;20;35370359;3;3;5.591;False;False;False;True
9;5;33;58953228;1;1;6.816;False;False;False;True
46;4;14;18823270;0;0;4.135;False;False;False;True
38;5;16;22690389;4;0;5.492;False;False;False;True
12;3;28;49123373;2;12;3.925;False;False;True;True
35;3;16;24558223;3;3;6.142;False;False;False;True
12;4;28;49126291;2;3;5.212;False;False;True;True
16;4;25;52018466;3;16;4.992;False;False;True;True
17;5;24;49123274;4;17;6.152;False;False;True;True
27;2;19;31578294;5;27;2.64;False;False;True;True
6;4;40;73682933;4;6;5.177;False;False;True;True
29;5;18;29467866;0;0;5.14;False;False;False;True
15;2;25;42108378;3;15;2.81;False;False;True;True
61;2;12;14284264;5;61;3.369;False;False;True;True
20;5;22;42115367;7;0;5.9;False;False;False;True
38;4;16;22678382;6;38;4.678;False;False;True;True
5;4;44;80375244;2;2;6.613;False;False;False;True
49;2;14;17695628;4;49;3.397;False;False;True;True
25;2;20;34018778;5;25;2.973;False;False;True;True
59;3;13;14764885;14;59;4.248;False;False;True;True
8;2;35;63163734;5;8;3.106;False;False;True;True
13;4;27;46534939;3;13;4.848;False;False;True;True
23;4;20;36843118;5;23;5.081;False;False;True;True
52;5;13;16687831;0;0;5.226;False;False;False;True
17;5;24;49121328;2;17;5.876;False;False;True;True
35;3;16;24556722;4;35;31.218;True;False;False;True
27;2;19;31592613;4;27;3.026;False;False;True;True
29;5;18;29484385;0;0;5.14;False;False;False;True
38;4;16;22698238;10;38;5.086;False;False;True;True
14;4;26;44204812;3;7;5.311;False;False;True;True
54;2;13;16078983;5;54;3.153;False;False;True;True
56;2;13;15517957;10;56;3.263;False;False;True;True
11;4;30;52009654;3;11;4.81;False;False;True;True
48;2;14;18054754;7;48;3.421;False;False;True;True
32;5;17;26807060;0;0;5.1;False;False;False;True
21;3;21;40209983;6;21;3.73;False;False;True;True
64;5;12;13619615;7;1;5.865;False;False;False;True
64;3;12;13621775;7;64;31.28;True;True;True;True
60;5;12;14495659;0;0;5.142;False;False;False;True
56;4;13;15526393;9;0;4.65;False;False;False;True
54;2;13;16105144;12;54;3.588;False;False;True;True
37;2;16;23271233;3;37;3.107;False;False;True;True
4;3;50;88400888;1;4;4.249;False;False;True;True
54;3;13;16076419;9;54;4.485;False;False;True;True
31;5;17;27653034;0;0;5.135;False;False;False;True
41;2;15;21061602;3;3;6.018;False;False;False;True
13;3;27;46544810;2;13;4.928;False;True;True;True
14;5;26;44204962;3;0;5.372;False;False;False;True
25;2;20;34030022;3;25;2.803;False;False;True;True
34;3;17;25267191;4;34;4.74;False;True;True;True
58;4;13;15013235;8;0;4.714;False;False;False;True
45;3;14;19236799;2;2;31.236;True;True;False;True
41;5;15;21074781;5;0;5.502;False;False;False;True
52;2;13;16683678;7;52;3.069;False;False;True;True
57;2;13;15264641;12;57;3.184;False;False;True;True
59;4;13;14756593;7;0;4.71;False;False;False;True
31;2;17;27650105;8;31;3.098;False;False;True;True
34;4;17;25285768;6;34;31.255;True;False;True;True
45;4;14;19220832;4;1;4.902;False;False;False;True
54;2;13;16084935;14;54;3.366;False;False;True;True
27;4;19;31591938;6;3;5.017;False;False;False;True
19;2;22;44227621;3;19;3.048;False;False;True;True
4;5;50;88418374;1;1;7.706;False;False;False;True
17;5;24;49129013;6;17;6.4;False;False;True;True
10;5;31;55255158;2;3;6.4;False;False;True;True
42;5;15;20577335;9;0;5.774;False;False;False;True
16;5;25;52005529;3;3;30.279;True;True;False;True
57;2;13;15244079;11;57;3.24;False;False;True;True
14;4;26;44231009;4;4;5.1;False;False;False;True
48;2;14;18063328;11;48;3.113;False;False;True;True
6;5;40;73692058;2;3;7.497;False;False;True;True
53;3;13;16384106;9;53;4.254;False;False;True;True
43;5;15;20095269;3;0;5.558;False;False;False;True
59;5;13;14737568;0;0;5.141;False;False;False;True
50;5;14;17363117;0;0;5.14;False;False;False;True
58;2;13;15007954;9;58;3.334;False;False;True;True
24;5;20;35377458;0;0;5.138;False;False;False;True
52;5;13;16711111;0;0;5.159;False;False;False;True
47;5;14;18422692;0;0;5.212;False;False;False;True
5;4;44;80393337;1;1;7.433;False;False;False;True
9;5;33;58940389;3;9;5.911;False;False;True;True
5;5;44;80392872;1;1;6.573;False;False;False;True
52;4;13;16711875;8;2;5.054;False;False;False;True
16;4;25;52007801;5;16;4.997;False;False;True;True
15;5;25;42104203;0;0;5.148;False;False;False;True
7;2;37;68028931;4;7;3.463;False;False;True;True
55;2;13;15790814;9;55;3.259;False;False;True;True
23;4;20;36862732;3;23;5.831;False;True;True;True
57;2;13;15248350;9;57;3.125;False;False;True;True
11;4;30;52005741;4;11;4.985;False;False;True;True
43;2;15;20107756;9;43;31.224;True;False;False;True
60;4;12;14499183;0;0;4.141;False;False;False;True
64;5;12;13630380;12;0;6.069;False;False;False;True
5;2;44;80382281;2;5;3.588;False;False;True;True
33;5;17;26030137;5;2;5.971;False;False;False;True
41;5;15;21079223;0;0;5.152;False;False;False;True
21;2;21;40211611;5;21;3.06;False;False;True;True
6;2;40;73692556;2;6;4.025;False;False;True;True
58;3;13;15000400;8;58;31.238;True;False;False;True
27;4;19;31595583;5;0;4.75;False;False;False;True
50;2;14;17355013;10;50;3.088;False;False;True;True
39;4;16;22125074;9;39;5.088;False;False;True;True
37;4;16;23291960;3;37;31.216;True;False;False;True
51;2;14;17014101;10;51;3.323;False;False;True;True
25;2;20;34021925;7;25;2.751;False;False;True;True
10;4;31;55254300;4;10;5.286;False;False;True;True
32;5;17;26795129;5;1;5.91;False;False;False;True
31;3;17;27652692;6;31;4.148;False;False;True;True
54;3;13;16091183;11;54;4.31;False;False;True;True
13;5;27;46534114;3;0;5.621;False;False;False;True
45;5;14;19218759;9;0;5.859;False;False;False;True
46;5;14;18812337;0;0;5.229;False;False;False;True
11;4;30;52029965;6;11;4.867;False;False;True;True
36;4;16;23905745;6;36;5.112;False;False;True;True
36;2;16;23896923;5;36;31.247;True;False;False;True
44;4;15;19652814;9;7;5.011;False;False;True;True
27;3;19;31588307;5;27;4.149;False;False;True;True
37;5;16;23288503;8;1;6.043;False;False;False;True
10;4;31;55275348;4;10;5.225;False;False;True;True
61;5;12;14284876;7;0;5.819;False;False;False;True
22;4;21;38453912;6;22;5.18;False;False;True;True
52;2;13;16682740;6;52;31.236;True;False;False;True
8;3;35;63147314;1;1;30.307;True;True;False;True
4;5;50;88411460;3;3;6.203;False;False;False;True
12;3;28;49115806;3;12;3.789;False;False;True;True
56;5;13;15536159;7;1;6.353;False;False;False;True
55;5;13;15804184;7;0;5.826;False;False;False;True
4;4;50;88411561;1;1;30.316;True;True;False;True
20;2;22;42110382;5;20;3.067;False;False;True;True
20;5;22;42103565;3;20;5.799;False;False;True;True
31;4;17;27644652;7;0;4.6;False;False;False;True
9;5;33;58963497;2;2;5.896;False;False;False;True
51;4;14;17021156;3;1;5.016;False;False;False;True
50;3;14;17355466;6;50;3.985;False;False;True;True
13;2;27;46550354;2;13;3.406;False;False;True;True
21;4;21;40208060;7;21;5.091;False;False;True;True
49;4;14;17711661;10;49;5.303;False;False;True;True
36;2;16;23907133;10;36;2.8;False;False;True;True
30;2;18;28548231;8;30;2.825;False;False;True;True
15;4;25;42116990;1;1;5.039;False;False;False;True
18;4;23;46545945;4;18;6.352;False;True;True;True
44;4;15;19655418;11;44;5.04;False;False;True;True
49;3;14;17707354;7;49;4.187;False;False;True;True
7;2;37;68021823;4;7;30.371;True;False;False;True
56;5;13;15536994;0;0;5.179;False;False;False;True
40;5;15;21569633;4;2;31.217;True;False;False;True
56;3;13;15539484;8;56;4.16;False;False;True;True
51;4;14;17021930;3;26;5.097;False;False;True;True
64;2;12;13615273;13;64;31.231;True;True;True;True
44;3;15;19666896;12;44;4.591;False;False;True;True
12;5;28;49142902;5;0;5.626;False;False;False;True
40;5;15;21580500;4;0;5.911;False;False;False;True
36;2;16;23892837;4;36;3.162;False;False;True;True
37;5;16;23294423;7;8;6.026;False;False;True;True
47;5;14;18418450;2;0;5.605;False;False;False;True
55;4;13;15812478;6;18;4.978;False;False;True;True
42;2;15;20567078;4;42;3.197;False;False;True;True
19;3;22;44211453;3;19;4.0;False;False;True;True
42;4;15;20560772;2;6;31.234;True;False;False;True
26;5;19;32741508;0;0;5.212;False;False;False;True
9;5;33;58949783;5;5;6.463;False;False;False;True
25;5;20;34025611;7;2;5.984;False;False;False;True
29;4;18;29467299;8;29;4.921;False;False;True;True
14;3;26;44231899;3;3;30.268;True;True;False;True
40;5;15;21585750;8;40;5.906;False;False;True;True
16;4;25;52007808;3;3;6.866;False;False;False;True
10;2;31;55271801;5;10;3.451;False;False;True;True
18;5;23;46558739;4;4;7.192;False;False;False;True
36;2;16;23896021;8;36;3.238;False;False;True;True
