N;DELAY;BUF_SIZE;TIMEOUT;TIME;DEADLOCK;DEADLOCK DETECTION;SEGFAULT;ABORT;RIGHT RESULT;KILLED
14;2;79392256;30;3.44;False;False;False;True;True;14
20;3;64491776;30;4.09;False;False;False;False;True;0
5;2;78288896;30;4.03;False;False;False;False;True;1
11;2;61574784;30;4.13;False;False;False;False;True;1
28;2;66866560;30;3.58;False;False;False;True;True;28
27;2;57933312;30;3.82;False;False;False;False;True;1
31;3;74273280;30;5.54;False;False;False;False;True;1
6;2;68837376;30;3.55;False;False;False;False;True;1
8;2;67533824;30;3.18;False;False;False;True;True;8
11;2;67338368;30;4.13;False;False;False;False;True;1
8;3;53655680;30;2.76;False;False;False;False;True;0
14;3;72158208;30;4.18;False;False;False;False;True;1
8;2;65306752;30;3.15;False;False;False;False;True;1
5;2;57714048;30;3.38;False;False;False;False;True;1
7;3;78406784;30;4.08;False;False;False;False;True;0
20;3;73318784;30;5.35;False;False;False;False;True;1
19;2;55992320;30;3.62;False;False;False;False;True;1
9;2;57997696;30;3.28;False;False;False;False;True;1
8;2;52079232;30;2.41;False;False;False;False;True;0
4;2;65409280;30;2.88;False;False;False;False;True;0
32;3;71904384;30;4.49;False;False;False;False;True;0
7;2;53510272;30;3.03;False;False;False;False;True;0
7;3;62942720;30;3.12;False;False;False;False;True;0
7;2;51308288;30;2.66;False;False;False;False;True;0
17;3;65299584;30;4.07;False;False;False;False;True;0
16;3;53656832;30;2.61;False;False;False;False;True;0
29;2;59198720;30;4.37;False;False;False;False;True;1
29;2;75736448;30;3.8;False;False;False;True;True;29
15;2;72696832;30;4.66;False;False;False;False;True;1
15;3;77286784;30;4.5;False;False;False;True;True;2
19;2;54135808;30;3.35;False;False;False;False;True;1
7;2;76272768;30;4.11;False;False;False;False;True;1
18;2;66133760;30;4.6;False;False;False;False;True;1
19;2;69291264;30;5.06;False;False;False;False;True;1
6;2;66132480;30;3.02;False;False;False;True;True;6
16;3;60165120;30;3.12;False;False;False;False;True;0
16;3;55972096;30;2.77;False;False;False;False;True;0
11;2;61131520;30;3.39;False;False;False;False;True;1
28;2;57586560;30;3.99;False;False;False;False;True;1
14;2;68364288;30;4.04;False;False;False;False;True;1
5;2;60434432;30;3.13;False;False;False;True;True;2
29;2;59538304;30;4.12;False;False;False;False;True;1
