N;DELAY;BUF_SIZE;TIMEOUT;TIME;DEADLOCK;DEADLOCK DETECTION;SEGFAULT;ABORT;RIGHT RESULT;KILLED
24;4;53940480;30;6.17;False;False;False;True;True;2
4;2;70074240;30;3.47;False;False;False;False;True;1
15;4;62336256;30;5.37;False;False;False;False;True;0
30;4;67313408;30;5.99;False;False;False;True;True;30
29;4;74885760;30;5.98;False;False;False;True;True;29
11;4;71477888;30;5.59;False;False;False;False;True;1
5;3;57366144;30;3.31;False;False;False;False;True;0
27;4;63700480;30;8.12;False;False;False;False;True;1
28;3;74568704;30;5.75;False;False;False;True;True;28
30;2;62184832;30;4.06;False;False;False;True;True;30
5;4;52499840;30;3.2;False;False;False;False;True;0
10;2;51821824;30;3.42;False;False;False;True;True;2
4;3;61823872;30;2.79;False;False;False;False;True;0
22;4;72155776;30;7.97;False;False;False;False;True;1
14;2;55787264;30;4.34;False;False;False;False;True;1
15;2;69025664;30;3.76;False;False;False;True;True;15
27;2;52470016;30;4.25;False;False;False;True;True;27
32;2;73454592;30;6.06;False;False;False;True;True;32
13;3;57134976;30;4.56;False;False;False;True;True;2
29;3;68493056;30;5.47;False;False;False;True;True;29
22;2;57277952;30;3.91;False;False;False;True;True;22
27;3;74289920;30;5.4;False;False;False;True;True;27
18;4;54238336;30;4.47;False;False;False;False;True;0
11;3;51529856;30;3.97;False;False;False;False;True;0
13;2;66569728;30;3.56;False;False;False;True;True;13
7;4;53242112;30;3.64;False;False;False;False;True;0
6;2;56591616;30;3.47;False;False;False;True;True;2
19;4;68496640;30;6.19;False;False;False;True;True;2
19;3;74484096;30;4.39;False;False;False;True;True;19
12;4;55473920;30;4.23;False;False;False;False;True;0
30;3;56023296;30;5.02;False;False;False;True;True;30
9;2;71668480;30;3.51;False;False;False;True;True;9
31;4;63098752;30;5.81;False;False;False;True;True;31
17;4;71306240;30;5.97;False;False;False;True;True;2
11;3;54994944;30;3.98;False;False;False;False;True;0
8;4;60778880;30;3.56;False;False;False;False;True;0
23;2;55037824;30;3.97;False;False;False;True;True;23
8;2;79331456;30;3.97;False;False;False;True;True;2
12;2;70301824;30;3.6;False;False;False;True;True;12
13;3;77869440;30;5.69;False;False;False;False;True;1
12;3;65692800;30;4.66;False;False;False;False;True;1
30;2;54480128;30;3.61;False;False;False;True;True;30
21;3;53643648;30;4.92;False;False;False;False;True;1
15;3;61368704;30;5.07;False;False;False;True;True;2
17;3;62282624;30;4.93;False;False;False;True;True;2
6;2;53718784;30;3.43;False;False;False;True;True;2
4;4;60971904;30;2.82;False;False;False;False;True;0
28;4;54454016;30;7.62;False;False;False;False;True;1
30;3;72913664;30;5.74;False;False;False;True;True;30
11;4;61801216;30;4.59;False;False;False;False;True;0
14;3;64367744;30;5.94;False;False;False;False;True;1
32;3;77552512;30;5.8;False;False;False;True;True;32
15;3;52596352;30;4.9;False;False;False;True;True;2
7;2;50712448;30;3.24;False;False;False;False;True;0
26;2;54829312;30;3.82;False;False;False;True;True;26
18;3;50576640;30;4.28;False;False;False;False;True;0
10;4;54029824;30;3.83;False;False;False;False;True;0
22;4;78978688;30;7.81;False;False;False;False;True;1
29;2;52722688;30;4.59;False;False;False;True;True;29
8;3;57260160;30;2.93;False;False;False;False;True;0
10;4;69780992;30;4.61;False;False;False;False;True;0
4;3;73608320;30;3.31;False;False;False;False;True;0
32;2;72646784;30;5.99;False;False;False;True;True;32
32;4;74820224;30;6.63;False;False;False;True;True;32
10;2;70019456;30;3.48;False;False;False;True;True;10
8;3;60092416;30;3.3;False;False;False;False;True;0
