N;DELAY;BUF_SIZE;TIMEOUT;TIME;DEADLOCK;DEADLOCK DETECTION;SEGFAULT;ABORT;RIGHT RESULT;KILLED;WHERE
28;3;63532544;30;5.64;False;False;False;True;True;28;REDUCE-SCATTER
21;2;50327552;30;3.48;False;False;False;True;True;21;REDUCE-SCATTER
5;2;68242688;30;4.37;False;False;False;False;True;1;REDUCE-SCATTER
28;3;66246912;30;5.78;False;False;False;True;True;28;REDUCE-SCATTER
30;3;71094144;30;4.74;False;False;False;True;True;30;UNKNOWN
15;2;65616512;30;3.84;False;False;False;True;True;15;REDUCE-SCATTER
31;2;54483840;30;3.91;False;False;False;True;True;31;UNKNOWN
17;2;64366592;30;3.83;False;False;False;True;True;17;REDUCE-SCATTER
25;4;76396672;30;9.44;False;False;False;False;True;1;REDUCE-SCATTER
10;4;58052480;30;4.13;False;False;False;False;True;0;UNKNOWN
23;2;59443072;30;4.26;False;False;False;True;True;23;REDUCE-SCATTER
29;3;73192576;30;4.92;False;False;False;True;True;29;REDUCE-SCATTER
9;4;79453056;30;5.31;False;False;False;False;True;0;UNKNOWN
29;2;78359168;30;4.15;False;False;False;True;True;29;UNKNOWN
29;2;56384256;30;3.66;False;False;False;True;True;29;UNKNOWN
7;3;68797952;30;4.33;False;False;False;False;True;1;UNKNOWN
12;4;56299648;30;4.23;False;False;False;False;True;0;UNKNOWN
20;3;70374400;30;7.05;False;False;False;False;True;1;REDUCE-SCATTER
27;2;61406720;30;3.82;False;False;False;True;True;27;UNKNOWN
20;4;66006272;30;6.12;False;False;False;False;True;1;ALLGATHER
4;3;51512064;30;2.53;False;False;False;False;True;0;UNKNOWN
13;3;58752000;30;4.5;False;False;False;False;True;0;UNKNOWN
12;3;61586688;30;4.56;False;False;False;False;True;1;UNKNOWN
25;2;64601344;30;3.53;False;False;False;True;True;25;UNKNOWN
13;3;54026240;30;4.65;False;False;False;False;True;1;UNKNOWN
32;2;58674432;30;4.57;False;False;False;True;True;32;REDUCE-SCATTER
28;2;71666048;30;4.17;False;False;False;True;True;28;UNKNOWN
11;3;68454784;30;4.62;False;False;False;False;True;1;UNKNOWN
17;4;51884928;30;4.49;False;False;False;False;True;0;UNKNOWN
17;3;71225216;30;6.72;False;False;False;False;True;1;REDUCE-SCATTER
12;4;78525952;30;5.41;False;False;False;False;True;1;UNKNOWN
15;4;56935936;30;5.2;False;False;False;False;True;0;UNKNOWN
21;2;66020480;30;4.25;False;False;False;True;True;21;REDUCE-SCATTER
25;2;53136128;30;4.24;False;False;False;True;True;25;REDUCE-SCATTER
20;2;55326208;30;3.69;False;False;False;True;True;20;REDUCE-SCATTER
30;3;56937216;30;5.57;False;False;False;True;True;30;REDUCE-SCATTER
10;4;64245120;30;4.3;False;False;False;False;True;0;UNKNOWN
6;4;79659136;30;4.64;False;False;False;False;True;0;UNKNOWN
17;3;50356224;30;4.62;False;False;False;False;True;1;UNKNOWN
12;3;58890112;30;5.37;False;False;False;False;True;1;ALLGATHER
17;4;51158144;30;4.26;False;False;False;False;True;0;UNKNOWN
28;4;62822272;30;5.69;False;False;False;True;True;28;REDUCE-SCATTER
6;3;78522368;30;5.37;False;False;False;False;True;1;ALLGATHER
18;4;56067328;30;5.45;False;False;False;False;True;0;UNKNOWN
19;3;56629760;30;5.9;False;False;False;False;True;1;ALLGATHER
8;2;68986368;30;3.35;False;False;False;True;True;8;ALLGATHER
12;4;59823232;30;4.89;False;False;False;False;True;0;UNKNOWN
15;4;69526016;30;5.99;False;False;False;True;True;2;UNKNOWN
6;2;57156480;30;3.97;False;False;False;False;True;1;ALLGATHER
22;2;73739392;30;3.5;False;False;False;True;True;22;UNKNOWN
12;3;52716672;30;4.05;False;False;False;False;True;0;UNKNOWN
7;3;57690240;30;3.91;False;False;False;False;True;0;UNKNOWN
6;3;60621440;30;3.97;False;False;False;False;True;0;UNKNOWN
11;3;76257152;30;4.43;False;False;False;True;True;11;ALLGATHER
29;2;62332672;30;4.1;False;False;False;True;True;29;UNKNOWN
31;2;61808384;30;4.07;False;False;False;True;True;31;UNKNOWN
14;3;52645120;30;5.3;False;False;False;False;True;1;UNKNOWN
